,edadhom,edadmuj,anoreg,anoocu,mesreg,mesocu,diaocu
edadhom,1.0,0.78353448429489,0.09043504146562219,0.10017325347584176,0.0021753981332509635,0.004305089093864828,0.00023237900862206363
edadmuj,0.78353448429489,1.0,0.1169219334683724,0.12807049090998057,0.008530638044631885,0.005019442910995134,0.003462883390842893
anoreg,0.09043504146562219,0.1169219334683724,1.0,0.9898122927983117,-0.06103758147342167,0.05701244411817788,0.0025238129122737304
anoocu,0.10017325347584176,0.12807049090998057,0.9898122927983117,1.0,0.00018991369325749053,0.005063806373883407,0.0003556354360393598
mesreg,0.0021753981332509635,0.008530638044631885,-0.06103758147342167,0.00018991369325749053,1.0,0.17151448552470203,0.014011221002644769
mesocu,0.004305089093864828,0.005019442910995134,0.05701244411817788,0.005063806373883407,0.17151448552470203,1.0,-0.033251985980108464
diaocu,0.00023237900862206363,0.003462883390842893,0.0025238129122737304,0.0003556354360393598,0.014011221002644769,-0.033251985980108464,1.0
