depreg,divorcios,departamento
1,27308,Guatemala
9,5343,Quetzaltenango
5,3201,Escuintla
22,2722,Jutiapa
12,2654,San Marcos
10,2368,Suchitepequez
13,2229,Huehuetenango
18,2208,Izabal
11,2018,Retalhuleu
17,1921,Peten
6,1865,Santa Rosa
14,1850,Quiche
19,1827,Zacapa
21,1742,Jalapa
20,1711,Chiquimula
16,1696,Alta Verapaz
3,1492,Sacatepequez
4,1423,Chimaltenango
2,1245,El Progreso
15,1208,Baja Verapaz
8,1129,Totonicapan
7,784,Solola
