codigo_departamento,departamento,divorcios
1,Guatemala,27308
9,Quetzaltenango,5343
5,Escuintla,3201
22,Jutiapa,2722
12,San Marcos,2654
10,Suchitepequez,2368
13,Huehuetenango,2229
18,Izabal,2208
11,Retalhuleu,2018
17,Peten,1921
6,Santa Rosa,1865
14,Quiche,1850
19,Zacapa,1827
21,Jalapa,1742
20,Chiquimula,1711
16,Alta Verapaz,1696
3,Sacatepequez,1492
4,Chimaltenango,1423
2,El Progreso,1245
15,Baja Verapaz,1208
8,Totonicapan,1129
7,Solola,784
