categoria,frecuencia,porcentaje
1714,6,0.0086
1208,5,0.0071
0702,5,0.0071
1329,5,0.0071
1417,5,0.0071
0708,5,0.0071
1617,5,0.0071
1330,5,0.0071
1318,4,0.0057
1332,4,0.0057
1614,4,0.0057
0715,3,0.0043
0711,3,0.0043
1321,3,0.0043
0703,2,0.0029
1328,2,0.0029
