categoria,frecuencia,porcentaje
Divorcios09.sav,9950,14.2257
Divorcios19.sav,8203,11.728
Divorcios18.sav,6255,8.9429
Divorcios17.sav,5808,8.3038
Divorcios15.sav,5726,8.1865
Divorcios16.sav,5665,8.0993
Divorcios14.sav,5575,7.9707
Divorcios13.sav,5542,7.9235
Divorcios12.sav,5157,7.373
Divorcios11.sav,4344,6.2107
Divorcios20.sav,4074,5.8247
Divorcios10.sav,3645,5.2113
