categoria,frecuencia,porcentaje
1,27308,39.0427
9,5343,7.639
5,3201,4.5765
22,2722,3.8917
12,2654,3.7945
10,2368,3.3856
13,2229,3.1868
18,2208,3.1568
11,2018,2.8852
17,1921,2.7465
6,1865,2.6664
14,1850,2.645
19,1827,2.6121
21,1742,2.4906
20,1711,2.4462
16,1696,2.4248
3,1492,2.1331
4,1423,2.0345
2,1245,1.78
15,1208,1.7271
8,1129,1.6141
7,784,1.1209
