categoria,etiqueta,frecuencia,porcentaje
0112,0112,30,0.0429
1228,1228,30,0.0429
1906,1906,30,0.0429
1908,1908,30,0.0429
1204,1204,29,0.0415
0307,0307,28,0.04
0412,0412,28,0.04
1007,1007,28,0.04
1206,1206,28,0.04
1408,1408,28,0.04
1409,1409,28,0.04
1910,1910,27,0.0386
1309,1309,26,0.0372
1405,1405,25,0.0357
1607,1607,25,0.0357
0313,0313,24,0.0343
0315,0315,24,0.0343
1702,1702,24,0.0343
1707,1707,24,0.0343
2208,2208,24,0.0343
0310,0310,23,0.0329
0706,0706,23,0.0329
2213,2213,23,0.0329
1012,1012,22,0.0315
1411,1411,22,0.0315
1018,1018,21,0.03
1331,1331,21,0.03
0808,0808,20,0.0286
1606,1606,20,0.0286
0718,0718,19,0.0272
1319,1319,19,0.0272
1608,1608,19,0.0272
2209,2209,19,0.0272
2210,2210,19,0.0272
0410,0410,18,0.0257
0807,0807,18,0.0257
1314,1314,18,0.0257
1316,1316,18,0.0257
1320,1320,18,0.0257
1414,1414,18,0.0257
1605,1605,18,0.0257
0402,0402,17,0.0243
0707,0707,17,0.0243
0709,0709,17,0.0243
1227,1227,17,0.0243
1313,1313,17,0.0243
1323,1323,17,0.0243
2105,2105,17,0.0243
0717,0717,16,0.0229
1205,1205,16,0.0229
1230,1230,16,0.0229
1209,1209,15,0.0214
0607,0607,14,0.02
0907,0907,14,0.02
0918,0918,14,0.02
1612,1612,14,0.02
1616,1616,14,0.02
0712,0712,13,0.0186
0908,0908,13,0.0186
1322,1322,13,0.0186
1713,1713,13,0.0186
0405,0405,12,0.0172
0408,0408,12,0.0172
1407,1407,12,0.0172
1224,1224,11,0.0157
1310,1310,11,0.0157
0316,0316,9,0.0129
0305,0305,8,0.0114
0311,0311,8,0.0114
1011,1011,8,0.0114
0714,0714,7,0.01
1016,1016,7,0.01
1021,1021,7,0.01
1226,1226,7,0.01
1611,1611,7,0.01
1911,1911,7,0.01
1714,1714,6,0.0086
0702,0702,5,0.0071
0708,0708,5,0.0071
1208,1208,5,0.0071
1329,1329,5,0.0071
1330,1330,5,0.0071
1417,1417,5,0.0071
1617,1617,5,0.0071
1318,1318,4,0.0057
1332,1332,4,0.0057
1614,1614,4,0.0057
0711,0711,3,0.0043
0715,0715,3,0.0043
1321,1321,3,0.0043
0703,0703,2,0.0029
1328,1328,2,0.0029
